original_entry_id,original_label,original_destination,feature_code,canonical_route_id,module,category,task,owner,access_policy,availability,unavailable_reason,screen_pattern,primary_action,normal_viewport_expectation,constrained_viewport_expectation,implementation_status,navigation_result,search_result,state_result,visual_result,keyboard_result,installed_result,evidence,open_issue
src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml#ExportArchivedExcel_Click-19,Export archived Excel…,src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml,,re-export,Archive,Archive,Re-export,Archive,1,ACTIVE,,Supporting action,ExportArchivedExcel_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml#ExportArchivedPdf_Click-20,Export archived PDF…,src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml,,re-export,Archive,Archive,Re-export,Archive,1,ACTIVE,,Supporting action,ExportArchivedPdf_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml#ExportArchivedZip_Click-21,Export ZIP…,src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml,,re-export,Archive,Archive,Re-export,Archive,1,ACTIVE,,Supporting action,ExportArchivedZip_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml#ShareArchivedWhatsApp_Click-22,WhatsApp,src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml,,shared,Archive,Archive,Shared Reports,Archive,1,ACTIVE,,Supporting action,ShareArchivedWhatsApp_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml#ShareArchivedEmail_Click-23,Email draft,src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml,,shared,Archive,Archive,Shared Reports,Archive,1,ACTIVE,,Supporting action,ShareArchivedEmail_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml#SharingContact_SelectionChanged-29,SharingContactsGrid,src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml,,sharing-contacts,Settings,Integrations,Sharing Contacts,Archive,3,ACTIVE,,Supporting action,SharingContact_SelectionChanged,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml#SaveSharingContact_Click-38,Save contact,src\Etp.Reporting.Desktop\Modules\Archive\ArchiveWorkspaceView.xaml,,sharing-contacts,Settings,Integrations,Sharing Contacts,Archive,3,ACTIVE,,Supporting action,SaveSharingContact_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#Scope_Changed-9,StoreInput,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,readiness,Dashboard,Daily Close,Readiness,DailyWorkflow,1,ACTIVE,,Supporting action,Scope_Changed,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#Refresh_Click-12,Refresh status,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,readiness,Dashboard,Daily Close,Readiness,DailyWorkflow,1,ACTIVE,,Supporting action,Refresh_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#SaveManualInput_Click-30,Save input,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,walk-ins,Dashboard,Daily Close,Walk-ins,DailyWorkflow,2,ACTIVE,,Supporting action,SaveManualInput_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#SaveStockCount_Click-59,Save stock count,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,stock-count,Dashboard,Daily Close,Stock Counts,DailyWorkflow,2,ACTIVE,,Supporting action,SaveStockCount_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#SaveStaffTarget_Click-73,Save target,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,staff-target,Dashboard,Daily Close,Staff Targets,DailyWorkflow,2,ACTIVE,,Supporting action,SaveStaffTarget_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#FinaliseDay_Click-75,Finalise day,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,finalisation,Dashboard,Daily Close,Finalisation Status,DailyWorkflow,1,ACTIVE,,Supporting action,FinaliseDay_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#ReopenDay_Click-79,Reopen day,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,finalisation,Dashboard,Daily Close,Finalisation Status,DailyWorkflow,1,ACTIVE,,Supporting action,ReopenDay_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#GenerateDailyPack_Click-81,Generate selected-store pack,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,store-daily-pack,Reports,Report Packs,Store Daily Pack,DailyWorkflow,1,ACTIVE,,Supporting action,GenerateDailyPack_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#GenerateCombinedDailyPack_Click-82,Generate Titan + Helios pack,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,combined-pack,Reports,Report Packs,Combined Pack,DailyWorkflow,1,ACTIVE,,Supporting action,GenerateCombinedDailyPack_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#ExportDailyPackExcel_Click-83,Export complete pack Excel…,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,store-daily-pack,Reports,Report Packs,Store Daily Pack,DailyWorkflow,1,ACTIVE,,Supporting action,ExportDailyPackExcel_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml#ExportDailyPackPdf_Click-84,Export complete pack PDF…,src\Etp.Reporting.Desktop\Modules\DailyWorkflow\DailyWorkflowWorkspaceView.xaml,,store-daily-pack,Reports,Report Packs,Store Daily Pack,DailyWorkflow,1,ACTIVE,,Supporting action,ExportDailyPackPdf_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml#BrowseWorkbook_Click-15,Browse workbook/ZIP…,src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml,,import-files,Imports,Intake,Import Files,Imports,2,ACTIVE,,Supporting action,BrowseWorkbook_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml#BrowseImportFolder_Click-16,Browse folder…,src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml,,import-files,Imports,Intake,Import Files,Imports,2,ACTIVE,,Supporting action,BrowseImportFolder_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml#ValidateWorkbook_Click-19,Validate workbook,src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml,,import-files,Imports,Intake,Import Files,Imports,2,ACTIVE,,Supporting action,ValidateWorkbook_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml#PersistWorkbook_Click-20,Import validated rows,src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml,,import-files,Imports,Intake,Import Files,Imports,2,ACTIVE,,Supporting action,PersistWorkbook_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml#StartBatchImport_Click-21,Import batch,src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml,,import-files,Imports,Intake,Import Files,Imports,2,ACTIVE,,Supporting action,StartBatchImport_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml#CancelBatchImport_Click-22,Cancel,src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml,,import-files,Imports,Intake,Import Files,Imports,2,ACTIVE,,Supporting action,CancelBatchImport_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml#RetryBatchImport_Click-23,Retry failed,src\Etp.Reporting.Desktop\Modules\Imports\ImportWorkspaceView.xaml,,import-files,Imports,Intake,Import Files,Imports,2,ACTIVE,,Supporting action,RetryBatchImport_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\OperationsAdministration\AdministrationWorkspaceView.xaml#MasterType_SelectionChanged-5,MasterTypeInput,src\Etp.Reporting.Desktop\Modules\OperationsAdministration\AdministrationWorkspaceView.xaml,,masters,Settings,Stores & Masters,Master Data,OperationsAdministration,3,ACTIVE,,Supporting action,MasterType_SelectionChanged,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
src\Etp.Reporting.Desktop\Modules\OperationsAdministration\AdministrationWorkspaceView.xaml#SaveMaster_Click-18,Save master,src\Etp.Reporting.Desktop\Modules\OperationsAdministration\AdministrationWorkspaceView.xaml,,masters,Settings,Stores & Masters,Master Data,OperationsAdministration,3,ACTIVE,,Supporting action,SaveMaster_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
src\Etp.Reporting.Desktop\Modules\OperationsAdministration\AdministrationWorkspaceView.xaml#SaveUserAccess_Click-32,Save user access,src\Etp.Reporting.Desktop\Modules\OperationsAdministration\AdministrationWorkspaceView.xaml,,users,Settings,Users & Access,Users & Roles,OperationsAdministration,3,ACTIVE,,Supporting action,SaveUserAccess_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes. Settings sidebar defect reported 2026-09-13; reproduction and repair pending VM access and screen capture (ETP-UI-REDESIGN-ACCEPTANCE-RESUME-2026-09-13.md)."
src\Etp.Reporting.Desktop\Modules\OperationsAdministration\InvestigationApprovalsWorkspaceView.xaml#RunGlobalSearch_Click-6,Search,src\Etp.Reporting.Desktop\Modules\OperationsAdministration\InvestigationApprovalsWorkspaceView.xaml,,investigation,Exceptions,Review,Investigation,OperationsAdministration,1,ACTIVE,,Supporting action,RunGlobalSearch_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
src\Etp.Reporting.Desktop\Modules\OperationsAdministration\InvestigationApprovalsWorkspaceView.xaml#RefreshApprovals_Click-7,Refresh approvals,src\Etp.Reporting.Desktop\Modules\OperationsAdministration\InvestigationApprovalsWorkspaceView.xaml,,approval-centre,Approvals,Review,Approval Centre,OperationsAdministration,3,ACTIVE,,Supporting action,RefreshApprovals_Click,Focused identity and primary action; bounded content,Reachable actions at 800x440 DIP,IMPLEMENTED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,artifacts/ui-redesign/20260912-sprint/matrix-r19; artifacts/ui-redesign/20260912-sprint/control-reconciliation.json; artifacts/ui-redesign/20260912-sprint/controls-r3; docs/audit/ETP-UI-REDESIGN-ACCEPTANCE.md,"Source/control mapping and offscreen composition checked; these result columns reserve full interactive/installed acceptance, which is unverified. See acceptance record for scoped local passes."
